:if_dead_go_to; rachelle; 176,,COMPLETE/ NOT UPLOADED,This should play when the player descends into Lv2. 
R:rachelle_base,...!,,
:if_dead_go_to; josephine; 25,,,
L:josephine_base,How curious. I could have sworn we were traveling DOWN ,,
,those stairs. This is too close to the surface to possibly be...,,
:if_dead_go_to; einar; 105,,,
L:einar_base,"Dame Rachelle, do you recognize this place...?",,
R:rachelle_base,(You look towards your lady to gauge what can be said.),,
L:josephine_base,This is the cistern below the duchy. That's all that's important. ,,
R:rachelle_base,...,,
,As she says. ,,
L:einar_base,"Of course, your grace. ",,
:if_dead_go_to; lachlan; 16,,,
L:lachlan_base,"Well, it's very nice down here! Roomy! Wet!",,
L:einar_base,You're... not wrong!,,
,Is it a bad time to let you know that I don't know how to swim?,,
R:rachelle_base,"I can't swim in this armor, anyway, and I wouldn't ever",,
,ask my lady to swim across herself. ,,
L:josephine_base,My dress is too heavy for such things. ,,
,"It matters not. If this is truly the cistern, then there should",,
,be a way forward without worrying about swimming.,,
L:einar_base,"Thank you for your wisdom and insight, your grace. ",,
R:josephine_base,"After you, then.",,
X,,,
:if_dead_go_to; einar; 74,,,
L:einar_base,"Dame Rachelle, do you recognize this place...?",,
R:rachelle_base,...,,
,This is the cistern under the duchy.,,
L:einar_base,There's a cistern this low in the ground?,,
R:rachelle_base,"No, it's only right under the manor. Something is... off. ",,
:if_dead_go_to; lachlan; 37,,,
L:lachlan_base,"You can feel it, too?",,
,The air is kinda electric. It feels like we've stepped into a huge magic sigil.,,
,Is it possible to draw one this big? Is there a whale down here with a halo,,
,the size of a market square?,,
R:rachelle_base,...,,
:if_dead_go_to; magda; 39,,,
L:magda_base,"Dame Rachelle, why are you making such an expression?",,
R:rachelle_base,What I'm about to tell you...cannot follow us back to the surface. ,,
,Telling you this much will put you in danger. ,,
:if_dead_go_to; magda; 44,,,
L:magda_base,But not telling us is even more dangerous?,,
R:rachelle_base,"Well... yes, unfortunately.",,
R:rachelle_base,This... place. It isn't just a cistern anymore. The duchy has been ,,
,conducting trials to...augment a person's halo. To transfer innate spells. ,,
:if_dead_go_to; magda; 48,,,
L:magda_base,...!,,
:if_dead_go_to; einar; 50,,,
L:einar_base,!!!,,
:if_dead_go_to; lachlan; 95,,,
L:lachlan_base,What?,,
,"But--that's---I mean, isn't what tattoos are for?",,
R:rachelle_base,It's borrowed power. And the flesh only has so much room,,
,to inscribe spells into. My lady's neck down to her ankles,,
,are already etched into to grant her the magic to best discern,,
,her surroundings. ,,
L:lachlan_base,...,,
R:rachelle_base,"Lachlan, having a complete halo that allows you to summon",,
,magic as you please... people kill for that kind of power. ,,
,"Most mages need to draw the sigil out, complete the circle...",,
L:lachlan_base,...,,
R:rachelle_base,"You're not... from the Academy, are you?",,
:if_dead_go_to; magda; 74,,,
L:magda_base,"Lachlan! Shut up, shut up, shut up. ",,
